,cnt,doc,word
0,7,0,103
1,4,0,45
2,1,0,37
3,3,0,28
4,2,0,134
5,5,0,42
6,5,0,52
7,14,0,98
8,1,0,67
9,6,0,70
10,2,0,129
11,7,0,32
12,5,0,79
13,3,0,47
14,1,0,75
15,2,0,81
16,3,0,96
17,3,0,105
18,2,0,18
19,1,0,20
20,5,0,108
21,1,0,137
22,1,0,49
23,6,0,26
24,5,0,101
25,2,0,114
26,2,0,83
27,2,0,72
28,2,0,89
29,1,0,121
30,1,0,76
31,1,0,23
32,1,0,90
33,2,0,100
34,1,0,93
35,2,0,16
36,1,0,78
37,4,0,94
38,1,0,140
39,2,0,85
40,2,0,111
41,1,0,92
42,2,0,31
43,3,0,119
44,2,0,95
45,7,0,115
46,1,0,9
47,2,0,59
48,1,0,38
49,2,0,128
50,1,0,36
51,1,0,14
52,1,0,141
53,2,0,109
54,2,0,130
55,1,0,68
56,1,0,60
57,1,0,69
58,2,0,84
59,1,0,127
60,2,0,46
61,4,0,104
62,1,0,53
63,1,0,139
64,2,0,7
65,1,0,61
66,1,0,131
67,3,0,19
68,1,0,57
69,3,0,66
70,1,0,91
71,1,0,5
72,1,0,82
73,1,0,106
74,1,0,99
75,1,0,107
76,1,0,44
77,1,0,55
78,1,0,6
79,4,1,45
80,3,1,13
81,5,1,103
82,2,1,85
83,3,1,94
84,3,1,89
85,4,1,127
86,7,1,11
87,9,1,108
88,6,1,42
89,1,1,86
90,3,1,34
91,5,1,28
92,3,1,73
93,3,1,98
94,4,1,44
95,5,1,52
96,1,1,31
97,1,1,76
98,9,1,67
99,3,1,77
100,1,1,84
101,1,1,125
102,3,1,10
103,3,1,142
104,1,1,66
105,5,1,137
106,2,1,115
107,3,1,70
108,2,1,132
109,3,1,128
110,6,1,90
111,1,1,14
112,4,1,9
113,1,1,23
114,3,1,119
115,5,1,19
116,1,1,83
117,1,1,79
118,4,1,69
119,1,1,61
120,2,1,144
121,3,1,74
122,2,1,36
123,1,1,130
124,2,1,124
125,1,1,93
126,1,1,107
127,3,1,136
128,2,1,47
129,1,1,3
130,1,1,141
131,1,1,2
132,1,1,57
133,1,1,43
134,3,1,26
135,1,1,135
136,1,1,92
137,2,1,116
138,1,1,63
139,1,1,114
140,1,1,24
141,1,1,53
142,1,1,32
143,1,1,18
144,2,1,82
145,2,1,113
146,1,1,99
147,1,1,100
148,2,1,117
149,2,1,22
150,1,1,87
151,2,1,91
152,1,1,6
153,1,1,118
154,1,1,37
155,1,1,20
156,3,2,91
157,1,2,88
158,6,2,108
159,2,2,47
160,1,2,120
161,2,2,90
162,1,2,113
163,3,2,18
164,6,2,45
165,6,2,102
166,2,2,101
167,4,2,19
168,1,2,115
169,2,2,87
170,2,2,55
